StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,population_count,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
VA,Virginia Beach,5182000,51810040000,5182000-51810040000,3976,16.8,"(13.9, 19.4)",5.6,"( 5.2,  5.9)",29.8,"(28.2, 31.5)",13.2,"(12.4, 14.0)",35.8,"(34.2, 37.6)",1.4,"( 1.3,  1.4)",8.1,"( 7.6,  8.6)",1,"( 0.9,  1.1)",65.2,"(63.3, 66.8)",54.8,"(51.3, 58.6)",60.3,"(56.8, 64.1)",2.5,"( 2.1,  2.7)",39.4,"(28.3, 50.7)",29.8,"(25.0, 35.2)",21.2,"(17.4, 24.2)",65.6,"(61.4, 70.1)",2.4,"( 2.2,  2.5)",15.7,"(14.8, 16.6)",0.9,"( 0.9,  1.0)",21.3,"(18.6, 23.9)",77.5,"(74.8, 80.0)",11.8,"(10.2, 12.7)",25.1,"(23.3, 26.6)",83.5,"(81.5, 85.4)",5.8,"( 5.1,  6.3)",37.8,"(35.0, 39.8)",0.7,"( 0.6,  0.7)",15.4,"(10.3, 21.5)","(36.91626906380, -76.1633595988)"
VA,Virginia Beach,5182000,51810040200,5182000-51810040200,5283,16.7,"(14.6, 19.0)",15.3,"(14.8, 15.7)",19.3,"(18.6, 20.0)",26.9,"(26.2, 27.6)",68.5,"(67.5, 69.6)",3.6,"( 3.5,  3.7)",10.2,"( 9.7, 10.9)",3.4,"( 3.2,  3.5)",73.8,"(72.9, 74.7)",67.2,"(64.4, 69.4)",63.9,"(61.4, 66.2)",4.6,"( 4.2,  4.9)",28.7,"(25.7, 31.7)",27.9,"(25.3, 30.5)",20.8,"(18.6, 23.1)",59.5,"(56.0, 62.7)",8.1,"( 7.8,  8.5)",27.5,"(26.7, 28.4)",2,"( 1.9,  2.0)",26.6,"(24.8, 28.4)",78.8,"(76.6, 80.8)",13,"(11.9, 14.2)",31.9,"(30.8, 32.8)",81.7,"(79.7, 83.6)",9.5,"( 8.8, 10.1)",41.9,"(40.5, 43.2)",2.3,"( 2.2,  2.5)",19.4,"(15.9, 23.4)","(36.88196216900, -76.1865270522)"
VA,Virginia Beach,5182000,51810040402,5182000-51810040402,6995,18,"(15.5, 20.9)",18.6,"(17.9, 19.4)",16.7,"(16.1, 17.2)",31.7,"(30.8, 32.8)",71.1,"(69.9, 72.2)",4.3,"( 4.2,  4.5)",10.5,"(10.0, 11.2)",4.2,"( 3.9,  4.5)",75.2,"(74.4, 75.9)",70.6,"(68.3, 72.7)",65,"(61.8, 67.8)",5.7,"( 5.1,  6.2)",30.6,"(27.0, 34.2)",29.3,"(25.7, 32.8)",22.8,"(19.9, 25.5)",59,"(55.4, 62.5)",9.8,"( 9.2, 10.4)",30.5,"(29.5, 31.5)",2.4,"( 2.4,  2.5)",29.4,"(27.1, 31.7)",78.2,"(75.8, 80.4)",13.6,"(12.3, 14.9)",35.5,"(34.2, 36.7)",82.9,"(80.8, 84.8)",11.3,"(10.3, 12.3)",43.2,"(41.7, 44.5)",2.9,"( 2.7,  3.2)",18,"(13.7, 24.1)","(36.86734083830, -76.1693866779)"
VA,Virginia Beach,5182000,51810040403,5182000-51810040403,3810,13.7,"(12.0, 15.7)",19.1,"(18.2, 19.9)",19.4,"(18.8, 20.0)",29.1,"(28.2, 29.9)",72.5,"(71.6, 73.6)",5.2,"( 5.0,  5.4)",8.8,"( 8.4,  9.2)",4.5,"( 4.1,  4.9)",73.3,"(72.5, 74.0)",75.4,"(73.5, 77.1)",68.1,"(65.2, 70.7)",5.4,"( 4.7,  6.0)",35,"(29.9, 40.3)",35.4,"(31.0, 39.7)",20.1,"(17.7, 22.4)",68.1,"(65.3, 70.8)",8.4,"( 7.9,  8.9)",32.9,"(32.0, 33.8)",2.1,"( 2.0,  2.2)",26.3,"(24.2, 28.1)",77.8,"(75.0, 80.2)",11.6,"(10.6, 12.6)",29.7,"(28.7, 30.7)",84,"(82.3, 85.6)",9.9,"( 9.0, 10.8)",38.1,"(36.7, 39.3)",2.4,"( 2.2,  2.6)",13,"( 9.5, 17.6)","(36.89706910720, -76.1725200629)"
VA,Virginia Beach,5182000,51810040404,5182000-51810040404,6718,8.3,"( 6.9, 10.0)",22.1,"(20.8, 23.4)",16.6,"(16.1, 17.1)",31.9,"(30.7, 33.2)",78.8,"(78.0, 79.7)",7.4,"( 7.1,  7.7)",7.8,"( 7.5,  8.2)",5.1,"( 4.6,  5.7)",77.3,"(76.7, 78.0)",84.5,"(83.1, 85.7)",74.3,"(71.3, 76.8)",4.7,"( 3.9,  5.5)",37.4,"(31.5, 42.2)",38.9,"(33.5, 43.9)",12.9,"(10.9, 15.3)",77.4,"(74.7, 80.0)",8.8,"( 8.2,  9.6)",36.2,"(35.2, 37.2)",2.4,"( 2.3,  2.5)",21.6,"(19.6, 23.8)",80.5,"(77.3, 83.1)",8.5,"( 7.5,  9.5)",25.5,"(24.3, 26.8)",87,"(85.1, 88.6)",8.4,"( 7.5,  9.6)",33,"(31.6, 34.5)",2.5,"( 2.2,  2.8)",8.7,"( 5.6, 13.6)","(36.87981501230, -76.1667373079)"
VA,Virginia Beach,5182000,51810040600,5182000-51810040600,5879,17.5,"(15.3, 19.9)",20.6,"(19.8, 21.5)",16.4,"(15.8, 16.9)",34,"(32.9, 34.9)",73.7,"(72.7, 74.6)",5.1,"( 4.9,  5.3)",10,"( 9.5, 10.4)",5.1,"( 4.8,  5.5)",75.4,"(74.7, 76.1)",73.3,"(71.5, 75.0)",64.3,"(61.2, 66.7)",6,"( 5.4,  6.7)",31.3,"(26.8, 35.7)",28.6,"(24.6, 32.7)",22.1,"(19.8, 24.6)",59.4,"(56.1, 62.8)",10.8,"(10.2, 11.4)",32.7,"(31.8, 33.6)",2.7,"( 2.6,  2.8)",30,"(28.0, 32.1)",77.6,"(74.8, 80.0)",13,"(12.0, 14.1)",35.6,"(34.4, 36.7)",83,"(80.9, 84.8)",11.8,"(10.9, 12.8)",42.5,"(41.0, 43.8)",3.3,"( 3.0,  3.7)",18.1,"(13.0, 24.8)","(36.85135225450, -76.1674846325)"
VA,Virginia Beach,5182000,51810040801,5182000-51810040801,4107,13.2,"(11.6, 15.0)",18.7,"(18.0, 19.4)",20.8,"(20.1, 21.6)",27.7,"(26.9, 28.6)",72.4,"(71.4, 73.3)",5.4,"( 5.2,  5.6)",8.7,"( 8.4,  9.2)",4.3,"( 4.0,  4.6)",72.9,"(72.1, 73.7)",74.6,"(72.7, 76.4)",67.6,"(64.7, 70.1)",5.1,"( 4.7,  5.6)",33.7,"(28.8, 38.7)",34.7,"(30.2, 38.7)",19.7,"(17.7, 21.7)",66.5,"(63.6, 69.3)",7.8,"( 7.4,  8.2)",32.1,"(31.2, 33.0)",2,"( 1.9,  2.0)",25.4,"(23.8, 27.0)",76.9,"(73.8, 79.6)",11.4,"(10.6, 12.2)",28.7,"(27.7, 29.6)",83.3,"(81.3, 85.2)",9.3,"( 8.7,  9.9)",37.9,"(36.6, 39.0)",2.2,"( 2.1,  2.4)",14.6,"(11.1, 19.0)","(36.86656021980, -76.1396442154)"
VA,Virginia Beach,5182000,51810040802,5182000-51810040802,4771,13.7,"(12.4, 15.1)",19.8,"(19.2, 20.3)",18.4,"(18.0, 18.8)",31,"(30.3, 31.7)",74,"(73.3, 74.7)",5.3,"( 5.1,  5.4)",9,"( 8.7,  9.3)",4.6,"( 4.3,  4.8)",74.5,"(73.9, 75.0)",77.1,"(75.8, 78.3)",67.2,"(65.1, 69.1)",5.4,"( 4.9,  5.8)",32.8,"(29.4, 36.3)",34.4,"(31.4, 37.5)",20.1,"(18.6, 21.8)",65.7,"(63.7, 67.8)",9.3,"( 8.9,  9.7)",33.5,"(32.8, 34.2)",2.2,"( 2.1,  2.2)",26.8,"(25.4, 28.1)",78.1,"(76.0, 80.2)",11.5,"(10.8, 12.3)",30.9,"(30.0, 31.7)",83.9,"(82.6, 85.2)",10.1,"( 9.6, 10.8)",39.7,"(38.8, 40.5)",2.6,"( 2.4,  2.7)",14.8,"(12.0, 18.0)","(36.86095764990, -76.1553182116)"
VA,Virginia Beach,5182000,51810041002,5182000-51810041002,2043,13.8,"(12.2, 15.7)",22,"(21.0, 22.9)",18.6,"(18.0, 19.2)",31.5,"(30.4, 32.6)",74.5,"(73.4, 75.5)",5.8,"( 5.6,  6.1)",9,"( 8.5,  9.4)",5.2,"( 4.7,  5.6)",73.3,"(72.5, 74.1)",77.2,"(75.5, 78.8)",65.7,"(62.1, 68.9)",6.5,"( 5.8,  7.3)",33,"(27.4, 38.8)",33.5,"(28.5, 38.3)",22.1,"(19.6, 24.4)",64.8,"(61.7, 67.8)",9.4,"( 8.8, 10.0)",35.8,"(34.8, 36.9)",2.3,"( 2.2,  2.3)",28.1,"(25.9, 30.0)",76.3,"(73.1, 79.4)",12.3,"(11.4, 13.3)",31.3,"(30.1, 32.5)",82.4,"(80.3, 84.4)",11.3,"(10.3, 12.2)",38.4,"(37.0, 39.6)",2.7,"( 2.4,  3.0)",15.1,"(10.9, 19.8)","(36.83963183540, -76.1473145526)"
VA,Virginia Beach,5182000,51810041003,5182000-51810041003,3512,12.5,"(11.0, 14.0)",21,"(20.1, 21.9)",19.4,"(18.9, 20.0)",30,"(28.9, 30.9)",74.7,"(73.7, 75.5)",6.1,"( 5.8,  6.3)",8.6,"( 8.3,  9.0)",4.9,"( 4.5,  5.4)",73.7,"(73.0, 74.5)",77.4,"(75.8, 78.9)",69.4,"(65.8, 72.4)",5.7,"( 5.1,  6.5)",35.3,"(30.3, 40.3)",36.7,"(31.9, 41.8)",19.4,"(17.4, 21.4)",70.8,"(68.0, 73.3)",8.6,"( 8.1,  9.1)",34.7,"(33.8, 35.5)",2.1,"( 2.1,  2.2)",25.8,"(24.0, 27.7)",77.9,"(74.4, 80.7)",11.2,"(10.3, 12.0)",28.7,"(27.7, 29.7)",85.1,"(83.3, 86.7)",10,"( 9.2, 10.9)",36,"(34.7, 37.2)",2.5,"( 2.3,  2.8)",12.8,"( 8.9, 18.1)","(36.85244903250, -76.1342870141)"
