Name,Street Address,City,State,Zip
EMS Station #1 – Ocean Park,3769 E. Stratford Road,Virginia Beach,Virginia,23455
EMS Station #2 – Davis Corner,4672 Haygood Road,Virginia Beach,Virginia,23455
EMS Station #4 – Chesapeake Beach,2211 Greenwell Road,Virginia Beach,Virginia,23455
EMS Station #5 – Princess Anne Courthouse,2461 Princess Anne Road,Virginia Beach,Virginia,23456
EMS Station #6 – Creeds,595 Princess Anne Road,Virginia Beach,Virginia,23457
EMS Station #8 – Great Neck,1243 Bayne Drive,Virginia Beach,Virginia,23454
EMS Station #9 – Kempsville,5145 Ruritan Court,Virginia Beach,Virginia,23462
EMS Station #10 – Woodstock,5656 Providence Rd,Virginia Beach,Virginia,23464
EMS Station #13 – Blackwater,6009 Blackwater Road,Virginia Beach,Virginia,23457
EMS Station #14 – Virginia Beach,740 Virginia Beach Boulevard,Virginia Beach,Virginia,23451
EMS Station #15 – Thalia,333 Thalia Road,Virginia Beach,Virginia,23452
EMS Station #16 – Plaza,3610 South Plaza Trail,Virginia Beach,Virginia,23452
EMS Station #17 – Sandbridge,305 Sandbridge Road,Virginia Beach,Virginia,23456
EMS Station #19 – Stumpy Lake,4196 Pleasant Valley Road,Virginia Beach,Virginia,23456
EMS Station #21 – General Booth,1468 Nimmo Pkwy,Virginia Beach,Virginia,23456
EMS Station #22 – First Landing,2837 Shore Drive,Virginia Beach,Virginia,23456
